Nama_Produk,Harga,Merk_CPU,Seri_CPU,Model_CPU,RAM,GPU,Layar,Full_CPU_Text,Skor_CPU,Skor_GPU,Kelas_Laptop
"Laptop Acer Aspire Go 14 Intel Core 5 120U RAm 8 GB / 16 Gb SSD 1 TB Windows 11 + Office Home Stundent 14"" WUXGA IPS",8649000,INTEL,INTEL CORE 5,120U,16.0,INTEGRATED,14.0,INTEL CORE 5 120U,14000,2500,PELAJAR/ADMIN
"Laptop Advan 360 Stylus Pro AMD Ryzen 5 7430U RAM 8 GB SSD 512 GB Windows 11 14"" WUXGA touch Screen 2in1",6949000,AMD,RYZEN 5,360,8.0,INTEGRATED,14.0,RYZEN 5 360,11000,2500,PELAJAR/ADMIN
"Laptop Advan Workplus Air OLED AMD Ryzen 5 7535HS RAM 16 GB SSD 512 GB Windows 11 14"" WUXGA 1.1 Kg",8549000,AMD,RYZEN AI 5,UNKNOWN,16.0,INTEGRATED,14.0,RYZEN AI 5 UNKNOWN,5000,2500,BASIC/ENTRY
Laptop Acer Aspire 7 Pro A715 Intel COre i5 13420H GeForce RTX 3050 6GB RAM 8GB SSD 512 GB Windows 11 + Office Home Student 15.6 FHD 144Hz,10599000,INTEL,INTEL CORE 1,3420H,8.0,RTX 3050,15.6,INTEL CORE 1 3420H,5000,12000,BASIC/ENTRY
"Laptop Axioo Pongo 765 Intel Core I7 13620H GeForce RTX 5060 8 GB RAm 16 GB SSD 512 GB Windows 11 / DOS 16"" WUXGA 165 Hz 100 Srgb",18549000,INTEL,INTEL CORE 1,3620H,16.0,RTX 5060,16.0,INTEL CORE 1 3620H,5000,26000,GAMING/RENDERING BERAT
"Laptop Axioo Hype-R X8 OLED AMD Ryzen 7 6850 RAM 16 gb SSD 512 GB Windows 11 14"" Full HD IPS Under 1 kg",9999000,AMD,RYZEN 7,6850,16.0,INTEGRATED,14.0,RYZEN 7 6850,14000,2500,PELAJAR/ADMIN
Laptop MSI Katana 15HX Intel Core i7 14650HX GeForce RTX 5070 8GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 15.6 FHD 144HZ 2 Year,23999000,INTEL,INTEL CORE 1,4650HX,32.0,RTX 5070,15.6,INTEL CORE 1 4650HX,5000,32000,GAMING/RENDERING BERAT
ASUS ROG XBOX ALLY AMD RYZEN Z2 A 16GB 512GB W11 7.0FHD 120HZ WHITE,9949000,AMD,RYZEN ,UNKNOWN,16.0,INTEGRATED,0.0,RYZEN  UNKNOWN,5000,2500,BASIC/ENTRY
"Laptop Acer Aspire Lite 14 AL14 Intel Celeron N150 RAM 8 GB SSD 256 GB Windows 11 + Office Home Student 14"" Full HD IPS",5019000,INTEL,CELERON/ENTRY,N150,8.0,INTEGRATED,14.0,CELERON/ENTRY N150,2500,2500,BASIC/ENTRY
"Laptop ASUS Vivobook 14 A1404VAP Intel Core 5 120U RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD VIPS",8399000,INTEL,INTEL CORE 1,404VA,8.0,INTEGRATED,14.0,INTEL CORE 1 404VA,5000,2500,BASIC/ENTRY
"Laptop HP 14 Intel Core Ultra 7 155H RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD IPS",11599000,INTEL,INTEL ULTRA 7,155H,16.0,INTEGRATED,14.0,INTEL ULTRA 7 155H,25000,2500,PROFESSIONAL/CODING BERAT
"Laptop ASUS Gaming V16 V3607VJ Intel COre 5 210 H GeForce RTX 3050 6GB RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 144Hz",11799000,INTEL,INTEL CORE 3,607VJ,8.0,RTX 3050,16.0,INTEL CORE 3 607VJ,5000,12000,BASIC/ENTRY
"Laptop Lenovo Legion Pro 5 16 OLED AMD Ryzen 7 8745HX GeForce RTX 5060 8 GB RAM 24 GB SSD 1 TB Windows 11 + Office Home Student 165Hz 16"" WQXGA",26299000,AMD,RYZEN 7,8745HX,24.0,RTX 5060,16.0,RYZEN 7 8745HX,14000,26000,GAMING/RENDERING BERAT
Laptop Lenovo Ideapad SLim 3 14 AMD Ryzen 5 7520 RAM 16 GB SSD 512 GB WIndows 11 + Office  Home Student,7649000,AMD,RYZEN 5,7520,16.0,INTEGRATED,0.0,RYZEN 5 7520,11000,2500,PELAJAR/ADMIN
"Laptop Avita Pura A+ AMD Ryzen 5 5500 RAm 8 GB SSD 512 GB Windows 11 14"" FUll HD",5299000,AMD,RYZEN 5,5500,8.0,INTEGRATED,14.0,RYZEN 5 5500,11000,2500,PELAJAR/ADMIN
"Laptop Avita Pura A+ Intel Core I5 1235 RAm 8 GB SSD 512 GB Windows 11 14"" FUll HD",5749000,INTEL,CORE I5,1235,8.0,INTEGRATED,14.0,CORE I5 1235,12000,2500,PELAJAR/ADMIN
"Laptop Avita Pura A+ Intel Core I3 1215 RAm 8 GB SSD 256 GB Windows 11 14"" FUll HD",4399000,INTEL,CORE I3,1215,8.0,INTEGRATED,14.0,CORE I3 1215,9500,2500,PELAJAR/ADMIN
"Laptop HP 14 Intel COre 5 120U RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD",8899000,INTEL,INTEL CORE 5,120U,16.0,INTEGRATED,14.0,INTEL CORE 5 120U,14000,2500,PELAJAR/ADMIN
Laptop Acer Predator Helios Neo 16 AI Intel COre Ultra 9 275HX GeForce RTX 5070TI 12 GB RAM 32 GB SSD 1 TB Windows 11 + Office,38099000,INTEL,INTEL ULTRA 9,275HX,32.0,RTX 5070,0.0,INTEL ULTRA 9 275HX,32000,32000,GAMING/RENDERING BERAT
"Laptop HP Omnibook 5 AI 16 Intel Core Ultra 5 225 RAM 16 GB SSD 1 Tb Windows 11 + Office Home Student 16"" 2K",13999000,UNKNOWN,UNKNOWN,UNKNOWN,16.0,INTEGRATED,16.0,UNKNOWN UNKNOWN,5000,2500,BASIC/ENTRY
Laptop HP Omnibook 7 AERO 13 AMD Ryzen AI 7 350 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 13.3 WQXGA IPS,15249000,AMD,RYZEN AI 7,350,16.0,INTEGRATED,13.3,RYZEN AI 7 350,29000,2500,PROFESSIONAL/CODING BERAT
"Laptop Acer Swift Lite 14 SFL14 AMD Ryzen 5 240 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA IPS",11399000,AMD,RYZEN 5,240,16.0,INTEGRATED,14.0,RYZEN 5 240,11000,2500,PELAJAR/ADMIN
"Laptop Advan Workplus AMD Ryzen 7 7735HS RAM 16 GB SSD 512 GB Windows 11 14"" Full HD UPS",8099000,AMD,RYZEN 7,UNKNOWN,16.0,INTEGRATED,14.0,RYZEN 7 UNKNOWN,14000,2500,PELAJAR/ADMIN
"Laptop MSI Modern 14 Intel COre I3 1315U RAM 8 GB SSD 512 gb Windows 14""  Full HD",5899000,INTEL,INTEL CORE 3,1315U,8.0,INTEGRATED,14.0,INTEL CORE 3 1315U,10000,2500,PELAJAR/ADMIN
Laptop Lenovo LOQ 15 AMD Ryzen 5 220 GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144 Hz 100 Srgb,16699000,AMD,RYZEN 5,220,16.0,RTX 5050,15.6,RYZEN 5 220,11000,2500,PELAJAR/ADMIN
Laptop Lenovo LOQ 15 AMD Ryzen 7 250 GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144 Hz 100 Srgb,18699000,AMD,RYZEN 7,250,16.0,RTX 5050,15.6,RYZEN 7 250,14000,2500,PELAJAR/ADMIN
"Laptop Acer Aspire Lite 14 AL14 Core 3 N355 RAM 8GB SSD 512 GB Windows 11 + Office Home Student 14"" inch FHD IPS",6049000,UNKNOWN,UNKNOWN,UNKNOWN,8.0,INTEGRATED,14.0,UNKNOWN UNKNOWN,5000,2500,BASIC/ENTRY
"Laptop Lenovo Ideapad Slim 5 14 OLED AMD Ryzen AI 7 350 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA",13399000,AMD,RYZEN AI 7,350,16.0,INTEGRATED,14.0,RYZEN AI 7 350,29000,2500,PROFESSIONAL/CODING BERAT
Laptop ASUS Vivobook A1405VA Intel Core i5 13420H RAM 16 GB SSD 512 GB Windows 11 + Office HOme student,9069000,INTEL,INTEL CORE 1,405VA,16.0,INTEGRATED,0.0,INTEL CORE 1 405VA,5000,2500,BASIC/ENTRY
"Laptop ASUS GAMING V16 V3607VH Intel Core 5 210H GeForce RTX 5050 8GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" Inch WUXGA 144Hz Refresh Rate",14969000,INTEL,INTEL CORE 3,607VH,16.0,RTX 5050,16.0,INTEL CORE 3 607VH,5000,2500,BASIC/ENTRY
Laptop MSI Summit A16 AI+ Touch Screen AMD Ryzen AI 9 365 RAM 32 GB SSD 1 TB Windows 11 + Office Home Student,22899000,AMD,RYZEN AI 9,365,32.0,INTEGRATED,0.0,RYZEN AI 9 365,34000,2500,PROFESSIONAL/CODING BERAT
"Laptop Acer Swift Go OLED SFG14 Intel Core Ultra 7 258V RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 14"" WUXGA 90 Hz EVO",17399000,INTEL,INTEL ULTRA 7,258V,32.0,INTEGRATED,14.0,INTEL ULTRA 7 258V,25000,2500,PROFESSIONAL/CODING BERAT
"Laptop Acer Swift Go OLED SFG14 Intel Core Ultra 5 226V RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 14"" WUXGA 90 Hz EVO",14499000,INTEL,INTEL ULTRA 5,226V,16.0,INTEGRATED,14.0,INTEL ULTRA 5 226V,20000,2500,MENENGAH/OFFICE MULTITASKING
"Laptop Acer Aspire Lite AL15 AMD Ryzen 7 8840HS RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15"" Full HD IPS",10749000,AMD,RYZEN 7,UNKNOWN,16.0,INTEGRATED,15.0,RYZEN 7 UNKNOWN,14000,2500,PELAJAR/ADMIN
"Laptop Lenovo V14 G4 Intel Core i7 13620H RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" FHD IPS",10799000,INTEL,INTEL CORE 1,3620H,16.0,INTEGRATED,14.0,INTEL CORE 1 3620H,5000,2500,BASIC/ENTRY
"Laptop ASUS TUF FA607NUG AMD Ryzen 7 7445HS RAM 16 GB SSD 512 Gb Windows 11 + Office Home Student 15.6"" FHD+ IPS 144 Hz",15499000,AMD,RYZEN 7,UNKNOWN,16.0,INTEGRATED,15.6,RYZEN 7 UNKNOWN,14000,2500,PELAJAR/ADMIN
"Laptop ASUS Expertbook P5405CSA Intel Core Ultra 7 258V RAM 32 GB SSD 1 TB WIndows 11 + Office Home Student 14"" WQXGA 100 Srgb",17399000,INTEL,INTEL CORE 5,405CS,32.0,INTEGRATED,14.0,INTEL CORE 5 405CS,5000,2500,BASIC/ENTRY
"Laptop HP 14 Intel Core i3 1315U RAM 4 GB / 8 GB SSD 512 GB WIndows 11 + Office Home Student 14"" Full HD CoPillot",6199000,INTEL,INTEL CORE 3,1315U,8.0,INTEGRATED,14.0,INTEL CORE 3 1315U,10000,2500,PELAJAR/ADMIN
"Laptop Lenovo Ideapad SLim 3 14 INtel Celeron N100 RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD",5049000,INTEL,CELERON/ENTRY,N100,8.0,INTEGRATED,14.0,CELERON/ENTRY N100,2500,2500,BASIC/ENTRY
"Laptop Acer nitro V15 AMD Ryzen 7 7445HS GeForce rtx 4050 6 GB RAM 16 GB SSD 512 GB + Windows + Office HOme Student 15.6"" Full HD 180 Hz 100 SRGB",14399000,AMD,RYZEN 7,180,16.0,RTX 4050,15.6,RYZEN 7 180,14000,18000,GAMING/RENDERING BERAT
"Laptop Acer Nitro Lite 16 Core 7 240H GeForce RTX 3050 6 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 180 Hz 100 Srgb",12749000,INTEL,INTEL CORE 7,240H,16.0,RTX 3050,16.0,INTEL CORE 7 240H,15000,12000,MENENGAH/OFFICE MULTITASKING
"Laptop Acer Nitro V 16S AMD Ryzen AI 9 365 GeForce RTX 5060 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WQXGA 180 Hz 100 Srgb",24999000,AMD,RYZEN AI 9,365,16.0,RTX 5060,16.0,RYZEN AI 9 365,34000,26000,GAMING/RENDERING BERAT
"Laptop Acer Nitro V 16S AMD Ryzen AI 9 365 GeForce RTX 5070 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WQXGA 180 Hz 100 Srgb",26999000,AMD,RYZEN AI 9,365,16.0,RTX 5070,16.0,RYZEN AI 9 365,34000,32000,GAMING/RENDERING BERAT
"Laptop Acer Aspire Lite AL15 AMD Ryzen 7 7730U RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 15"" Full HD IPS",8119000,AMD,RYZEN 7,7730U,8.0,INTEGRATED,15.0,RYZEN 7 7730U,14000,2500,PELAJAR/ADMIN
"Laptop Acer Aspire Go 14 AG 14 Intel Core i3 1315 RAM 8 GB / 16 GB SSD 256 gb / 512 GB Windows 11 + Office Home Student 14"" WUXGA IPS",6099000,INTEL,CORE I3,1315,16.0,INTEGRATED,14.0,CORE I3 1315,5000,2500,BASIC/ENTRY
"Laptop ASUS TUF A16 FA608UH AMD Ryzen 7 260 GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 165Hz 100",18319000,AMD,RYZEN 7,260,16.0,RTX 5050,16.0,RYZEN 7 260,14000,2500,PELAJAR/ADMIN
Laptop Lenovo LOQ 15 Intel Core i7 13650HX RTX 4050 6 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144Hz 100 Srgb,16199000,INTEL,INTEL CORE 1,3650HX,16.0,RTX 4050,15.6,INTEL CORE 1 3650HX,33000,18000,GAMING/RENDERING BERAT
Laptop Lenovo Loq 15 Intel Core I5 13450HX Geforce RTX 3050 6 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144Hz 100 Srgb,13199000,INTEL,INTEL CORE 1,3450HX,16.0,RTX 3050,15.6,INTEL CORE 1 3450HX,5000,12000,BASIC/ENTRY
Laptop Lenovo LOQ 15 Intel Core i7 13650HX RTX 4060 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144Hz 100 Srgb,18999000,INTEL,INTEL CORE 1,3650HX,16.0,RTX 4060,15.6,INTEL CORE 1 3650HX,33000,22000,GAMING/RENDERING BERAT
"Laptop ACER ASPIRE LITE AL15 AMD RYZEN 5 7430 RAM 8GB SSD 512GB Windows 11 + Office Home Student 15"" fhd",6899000,AMD,RYZEN 5,7430,8.0,INTEGRATED,15.0,RYZEN 5 7430,11000,2500,PELAJAR/ADMIN
"Laptop HP 14 Intel Core Core 5 120U RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD Backlight CoPilot",8399000,INTEL,INTEL CORE 5,120U,8.0,INTEGRATED,14.0,INTEL CORE 5 120U,14000,2500,PELAJAR/ADMIN
"Laptop Lenovo V15 G5 Intel COre I5 13420H RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 15.6"" FUll HD IPS",8299000,INTEL,INTEL CORE 1,3420H,8.0,INTEGRATED,15.6,INTEL CORE 1 3420H,5000,2500,BASIC/ENTRY
"Laptop Lenovo V15 G5 Intel COre i3 1315 RAM 8 GB SSD 512 GB Windows 11 + Office HOme Student 15.6"" FUll HD IPS",6499000,INTEL,CORE I3,1315,8.0,INTEGRATED,15.6,CORE I3 1315,5000,2500,BASIC/ENTRY
"Laptop Lenovo Ideapad Slim 5 14 OLED intel Core Ultra 5 225H RAm 16GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA",12599000,INTEL,INTEL ULTRA 5,225H,16.0,INTEGRATED,14.0,INTEL ULTRA 5 225H,20000,2500,MENENGAH/OFFICE MULTITASKING
"Laptop Lenovo Ideapad Slim 5 14 OLED Intel Core Ultra 7 255H RAm 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA",14699000,INTEL,INTEL ULTRA 7,255H,16.0,INTEGRATED,14.0,INTEL ULTRA 7 255H,25000,2500,PROFESSIONAL/CODING BERAT
"Laptop ASUS Vivobook 14 M1405YA AMD Ryzen 7 7730 RAM 16 GB SSD 1 TB WIndows 11 + Office Home Student 14"" WUXGA VIPS",10669000,APPLE,APPLE SILICON,M1,16.0,INTEGRATED,14.0,APPLE SILICON M1,14500,2500,PELAJAR/ADMIN
"Laptop Lenovo IDEAPAD SLIM 5 OLED 14 Intel Core i5 13420H RAM 16gb SSD 512ssd W11 + OHS 14"" WUXGA BLIT 2Y + 2ADP",11099000,INTEL,INTEL CORE 1,3420H,16.0,INTEGRATED,14.0,INTEL CORE 1 3420H,5000,2500,BASIC/ENTRY
"HP Omnibook Ultra FLIP 14 OLED ULTRA 7 258V 32gb 1TB W11 + OHS 14"" 2.8K VRR 120HZ 2Y+ADP 2in1 EVO",25799000,INTEL,INTEL ULTRA 7,258V,32.0,INTEGRATED,14.0,INTEL ULTRA 7 258V,25000,2500,PROFESSIONAL/CODING BERAT
"Laptop ASUS Gaming K16 K3605VC Intel COre I5 13420H RTX 3050 4GB RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA",9739000,INTEL,INTEL CORE 3,605VC,8.0,RTX 3050,16.0,INTEL CORE 3 605VC,5000,12000,BASIC/ENTRY
"Laptop ASUS Expertbook P5405CSA Intel COre Ultra 5 226V RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WQXGA",13699000,INTEL,INTEL CORE 5,405CS,16.0,INTEGRATED,14.0,INTEL CORE 5 405CS,5000,2500,BASIC/ENTRY
"Laptop Acer Aspire Lite 14 AL14 Core 3 N355 RAM 8GB SSD 512 GB Windows 11 + Office Home Student 14"" inch WUXGA IPS",6049000,UNKNOWN,UNKNOWN,UNKNOWN,8.0,INTEGRATED,14.0,UNKNOWN UNKNOWN,5000,2500,BASIC/ENTRY
"Laptop Gaming Acer Predator Helios Neo OLED 16S AI Intel Core Ultra 9 275HX GeForce RTX 5070 VRAM 8 GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 16"" WQXGA 240 Hz",35399000,INTEL,INTEL ULTRA 9,275HX,32.0,RTX 5070,16.0,INTEL ULTRA 9 275HX,32000,32000,GAMING/RENDERING BERAT
Laptop HP Victus 15 AMD Ryzen 7 7445HS GeForce RTX 4050 6 GB RAm 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144Hz,15699000,AMD,RYZEN 7,UNKNOWN,16.0,RTX 4050,15.6,RYZEN 7 UNKNOWN,14000,18000,GAMING/RENDERING BERAT
"Laptop HP 14 AMD Ryzen 3 7320 RAM 8 GB SSD 512 Gb Windows 11 + Office Home Student 14"" Full HD IPS",5849000,AMD,RYZEN 3,7320,8.0,INTEGRATED,14.0,RYZEN 3 7320,5000,2500,BASIC/ENTRY
Laptop ASUS TUF A15 FA506NCG AMD Ryzen 7 7445HS Geforce RTX 3050 4 GB RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144 Hz,12149000,AMD,RYZEN 7,UNKNOWN,8.0,RTX 3050,15.6,RYZEN 7 UNKNOWN,14000,12000,PELAJAR/ADMIN
Laptop MSI Cyborg 15 Intel Core 5 210H GeForce RTX 5060 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD IPS 144 Hz,17099000,INTEL,INTEL CORE 5,210H,16.0,RTX 5060,15.6,INTEL CORE 5 210H,15000,26000,GAMING/RENDERING BERAT
"Laptop Lenovo Legion 5 OLED Intel Core i7 14700HX GeForce RTX 5060 8 Gb RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.1"" WQXGA 165Hz 24Zrgb",24719000,INTEL,INTEL CORE 1,4700HX,16.0,RTX 5060,15.1,INTEL CORE 1 4700HX,5000,26000,GAMING/RENDERING BERAT
"Laptop Advan Workmate Intel Core i3 1215U RAm 8 GB SSD 256 Gb Windows 11 14"" WUXGA IPS",5299000,INTEL,INTEL CORE 3,1215U,8.0,INTEGRATED,14.0,INTEL CORE 3 1215U,9500,2500,PELAJAR/ADMIN
Laptop Lenovo Thinkpad X13 G6 Intel Core Ultra 7 255U RAm 32 GB SSD 1 Tb Windows 11 Pro 13.3 WUXGA IPS 100 Srgb,29699000,INTEL,INTEL ULTRA 7,255U,32.0,INTEGRATED,13.3,INTEL ULTRA 7 255U,25000,2500,PROFESSIONAL/CODING BERAT
Laptop Lenovo Thinkpad L13 G6 Intel Core Ultra 7 255U RAM 16 GB SSD 1 Tb Windows 11 Pro 13.3 WUXGA IPS,23999000,INTEL,INTEL ULTRA 7,255U,16.0,INTEGRATED,13.3,INTEL ULTRA 7 255U,25000,2500,PROFESSIONAL/CODING BERAT
Laptop Lenovo Thinkpad L13 G6 Intel Core Ultra 5 225U RAm 16 GB SSD 512 GB Windows 11 Pro 13.3 WUXGA IPS,19699000,INTEL,INTEL ULTRA 5,225U,16.0,INTEGRATED,13.3,INTEL ULTRA 5 225U,20000,2500,MENENGAH/OFFICE MULTITASKING
"Laptop Lenovo Legion 7 16 OLED Intel Core Ultra 9 275HX GeForce RTX5070 8 GB RAM 32 GB SSD 1 Tb Windows 11 + Office Home Student 16"" WQXGA 165Hz",37099000,INTEL,INTEL ULTRA 9,275HX,32.0,RTX 5070,16.0,INTEL ULTRA 9 275HX,32000,32000,GAMING/RENDERING BERAT
