Nama_Produk,Harga,Merk_CPU,Seri_CPU,Model_CPU,RAM,GPU,Layar,Full_CPU_Text,Skor_CPU,Skor_GPU,Kelas_Laptop
"Laptop Lenovo Legion 5 15 OLED AMD Ryzen AI 7 350  GeForce RTX 5060 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Stduent 16"" WQXGA 165 Hz",25299000,AMD,RYZEN AI 7,350,16.0,RTX 5060,15.0,RYZEN AI 7 350,29000,26000,GAMING/RENDERING BERAT
Laptop Lenovo Legion 5 15 OLED AMD Ryzen AI 7 350 GeForce RTX 5070 8 GB RAM 32 GB SSD 1 Tb Windows 11 + Office Home Student 15.1 WQXGA 165 Hz,28999000,AMD,RYZEN AI 7,350,32.0,RTX 5070,15.0,RYZEN AI 7 350,29000,32000,GAMING/RENDERING BERAT
Laptop Lenovo Legion 5 15 OLED Intel Core Ultra 7 255HX GeForce RTX 5060 8 GB RAM 32 GB SSD 512 GB Windows 11 + Office HOme Student 15.1 WQXGA 165 Hz,26699000,INTEL,INTEL ULTRA 7,255HX,32.0,RTX 5060,15.0,INTEL ULTRA 7 255HX,25000,26000,GAMING/RENDERING BERAT
"Laptop Lenovo Legion 5 15 OLED Intel Core Ultra 7 255HX GeForce RTX 5070 8 GB RAm 32 GB SSD 512 GB Windows 11 + Office Home Student 15.1"" WQXGA 165 Hz",29999000,INTEL,INTEL ULTRA 7,255HX,32.0,RTX 5070,15.0,INTEL ULTRA 7 255HX,25000,32000,GAMING/RENDERING BERAT
"Laptop Lenovo Legion Pro 5 16 OLED Intel COre Ultra 8 275HX GeForce RTX 5070Ti 12 GB RAM 32 GB SSD 1 Tb WIndows 11 + Office Home Student 16"" WQXGA 240Hz",37549000,INTEL,INTEL ULTRA 8,275HX,32.0,RTX 5070,16.0,INTEL ULTRA 8 275HX,5000,32000,GAMING/RENDERING BERAT
"Laptop ASUS Zenbook 14 OLED UM3406KA AMD Ryzen Ai 7 350 RAM 16 GB SSD 512 Gb Windows 11 + Office HOme Student 14""",15799000,AMD,RYZEN AI 7,350,16.0,INTEGRATED,14.0,RYZEN AI 7 350,29000,2500,PROFESSIONAL/CODING BERAT
"Laptop Gaming ASUS TUF F16 FX607VU Intel Core 5 210H GeForce RTX4050 6GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 165Hz 100SRGB",15899000,INTEL,INTEL CORE ,607VU,16.0,RTX 4050,16.0,INTEL CORE  607VU,5000,18000,GAMING/RENDERING BERAT
"Laptop Lenovo Legion Pro 5I 16 Intel COre i9 14900HX GeForce RTX 5060 8GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 16"" WQXGA 240 HZ 100 DCIP3",28249000,INTEL,INTEL CORE 1,4900HX,32.0,RTX 5060,16.0,INTEL CORE 1 4900HX,5000,26000,GAMING/RENDERING BERAT
"Laptop Lenovo Thinkpad T14 Gen 6 Intel Core Ultra 7 255H RAm 32 GB SSD 1 TB 14"" 2.8K Windows 11 pro",27599000,INTEL,INTEL ULTRA 7,255H,32.0,INTEGRATED,14.0,INTEL ULTRA 7 255H,25000,2500,PROFESSIONAL/CODING BERAT
Laptop HP Victus 15 AMD Ryzen 7 7445HS GeForce RTX 3050 6 GB RAm 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144Hz,11599000,AMD,RYZEN 7,UNKNOWN,16.0,RTX 3050,15.6,RYZEN 7 UNKNOWN,14000,12000,PELAJAR/ADMIN
"Laptop Gaming HP Omen Max 16 AMD RYZEN AI 9 HX 375 RTX 5080 16 GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 16"" WQXGA 240 Hz 100Srgb PKRGB",49099000,AMD,RYZEN AI 9,375,32.0,RTX 5080,16.0,RYZEN AI 9 375,34000,38000,GAMING/RENDERING BERAT
"Laptop HP Omen 16 AMD Ryzen AI 7 GeForce RTX 5070 8GB RAM 16 GB SSD 1 Tb Windows 11 + Office Home Student 16"" WUXGA 165Hz",30349000,AMD,RYZEN AI 7,5070,16.0,RTX 5070,16.0,RYZEN AI 7 5070,29000,32000,GAMING/RENDERING BERAT
"Laptop HP Omen 16 AMD Ryzen AI 9 365 GeForce RTX 5060 8GB RAM 32 GB SSD 1 Tb Windows 11 + Office Home Student 16"" WQXGA 165Hz",27599000,AMD,RYZEN AI 9,365,32.0,RTX 5060,16.0,RYZEN AI 9 365,34000,26000,GAMING/RENDERING BERAT
"Laptop HP Omen 16 AMD Ryzen AI 7 GeForce RTX 5060 8GB RAM 16 GB SSD 1 Tb Windows 11 + Office Home Student 16"" WUXGA 165Hz",22799000,AMD,RYZEN AI 7,5060,16.0,RTX 5060,16.0,RYZEN AI 7 5060,29000,26000,GAMING/RENDERING BERAT
"Laptop HP Omnibook 7 OLED 14 Intel COre 9 270H RAM 32 GB SSD 1 Tb Windows 11 + Office Home Student 14"" 3K 120 Hz",21999000,INTEL,INTEL CORE 9,270H,32.0,INTEGRATED,14.0,INTEL CORE 9 270H,5000,2500,BASIC/ENTRY
"Laptop HP Omnibook 5 Flip Touch Screen 14 intel Core 7 150U RAm 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" 2K 2 in 1 + Pen",14499000,INTEL,INTEL CORE 7,150U,16.0,INTEGRATED,14.0,INTEL CORE 7 150U,16000,2500,MENENGAH/OFFICE MULTITASKING
"Laptop HP Omnibook 5 Flip Touch Screen 14 intel Core 5 120U RAm 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" 2K 2 in 1 + Pen",12649000,INTEL,INTEL CORE 5,120U,16.0,INTEGRATED,14.0,INTEL CORE 5 120U,14000,2500,PELAJAR/ADMIN
"Laptop HP Victus 15 AMD Ryzen AI 7 350 GeForce RTX 5060 8 GB RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 15.6"" Full HD 144Hz",20399000,AMD,RYZEN AI 7,350,16.0,RTX 5060,15.6,RYZEN AI 7 350,29000,26000,GAMING/RENDERING BERAT
"Laptop HP Victus 15 AMD Ryzen AI 5 340 GeForce RTX 5060 8 GB RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 15.6"" Full HD 144Hz",18849000,AMD,RYZEN AI 5,340,16.0,RTX 5060,15.6,RYZEN AI 5 340,5000,26000,GAMING/RENDERING BERAT
"Laptop HP Victus 15 AMD Ryzen 7 260 GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6"" Full HD 144Hz",18349000,AMD,RYZEN 7,260,16.0,RTX 5050,15.6,RYZEN 7 260,14000,2500,PELAJAR/ADMIN
"Laptop HP Victus 15 AMD Ryzen 5 240 GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6"" Full HD 144Hz",16799000,AMD,RYZEN 5,240,16.0,RTX 5050,15.6,RYZEN 5 240,11000,2500,PELAJAR/ADMIN
Laptop HP Ombibook 3 Next Gen AI AMD Ryzen AI 5 340 RAM 16 GB  SSD 512 GB Windows 11 + Office Home Student,10899000,AMD,RYZEN AI 5,340,16.0,INTEGRATED,0.0,RYZEN AI 5 340,5000,2500,BASIC/ENTRY
"Laptop HP OMEN Transcend 14 OLED Intel COre Ultra 7 255H GeForce RTX 5060 8 GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 14"" 3K 120 Hz",31699000,INTEL,INTEL ULTRA 7,255H,32.0,RTX 5060,14.0,INTEL ULTRA 7 255H,25000,26000,GAMING/RENDERING BERAT
Laptop MSI Cyborg 15 Intel Core 5 210H GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD IPS 144 Hz,14999000,INTEL,INTEL CORE 5,210H,16.0,RTX 5050,15.6,INTEL CORE 5 210H,15000,2500,MENENGAH/OFFICE MULTITASKING
"Laptop Lenovo Legion 5 15 Intel Core i7 13650HX RTX 5050 8 GB RAM 16 gb SSD 512 GB Windows 11 + Office Home Student 15.3"" WUXGA 165Hz 100Srgb",19399000,INTEL,INTEL CORE 1,3650HX,16.0,RTX 5050,15.3,INTEL CORE 1 3650HX,33000,2500,PROFESSIONAL/CODING BERAT
Laptop Tecno Megabook K15S AMD Ryzen 5 7430 RAm 8 GB SSD 512 GB Windows 11 15.6 Full HD IPS,6299000,AMD,RYZEN 5,7430,8.0,INTEGRATED,15.6,RYZEN 5 7430,11000,2500,PELAJAR/ADMIN
"Laptop Acer Aspire 7 Pro A715 Intel Core i7 13620H RTX 3050 6GB RAm 16 GB SSD 512 GB WIndows 11 + Office Home Student 15.6y"" Full HD 144 Hz",12399000,INTEL,INTEL CORE 1,3620H,16.0,RTX 3050,15.6,INTEL CORE 1 3620H,5000,12000,BASIC/ENTRY
"Laptop Acer Nitro Lite 16 Core 5 210H GeForce RTX 3050 6 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 180 Hz 100 Srgb",11499000,INTEL,INTEL CORE 5,210H,16.0,RTX 3050,16.0,INTEL CORE 5 210H,15000,12000,MENENGAH/OFFICE MULTITASKING
"Laptop Acer Nitro V 16S AMD Ryzen 5 240 GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 180 Hz 100 Srgb",17299000,AMD,RYZEN 5,240,16.0,RTX 5050,16.0,RYZEN 5 240,11000,2500,PELAJAR/ADMIN
"Laptop Acer Nitro V16S AMD Ryzen 7 260 GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 180 Hz 100 Srgb",18599000,AMD,RYZEN 7,260,16.0,RTX 5050,16.0,RYZEN 7 260,14000,2500,PELAJAR/ADMIN
"Laptop Acer Nitro V 16S AMD Ryzen 7 260 GeForce RTX 5060 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office HOme Student 16"" WQXGA 180Hz 100 Srgb",20499000,AMD,RYZEN 7,260,16.0,RTX 5060,16.0,RYZEN 7 260,14000,26000,GAMING/RENDERING BERAT
Laptop HP Victus 15 AMD Ryzen 7 8845HS GeForce RTX 4050 6 GB RAm 8 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144Hz,15099000,AMD,RYZEN 7,UNKNOWN,8.0,RTX 4050,15.6,RYZEN 7 UNKNOWN,14000,18000,GAMING/RENDERING BERAT
"Laptop HP Omnibook X 14 Touch Screen Snapdragon X Elite X1E 78100 RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 14"" 2.2K",18599000,UNKNOWN,UNKNOWN,UNKNOWN,16.0,INTEGRATED,14.0,UNKNOWN UNKNOWN,5000,2500,BASIC/ENTRY
"Laptop HP Pavilion Plus 14 OLED Intel COre i7 1355 RAM 16 GB SSD 1 Tb Windows 11 + Office Home Student 14"" 2.8K",14999000,INTEL,CORE I7,1355,16.0,INTEGRATED,14.0,CORE I7 1355,15000,2500,MENENGAH/OFFICE MULTITASKING
"Laptop HP 14 Intel Core i3 1315 RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" FHD Blit Copilot",6499000,INTEL,CORE I3,1315,8.0,INTEGRATED,14.0,CORE I3 1315,5000,2500,BASIC/ENTRY
"Laptop Lenovo Thinkpad L13 2in1 Gen 6 Touch Screen Intel Core Ultra 7 255U RAM 16 GB SSD 1 Tb WIndows 11 Pro 13.3"" WUXGA IPS 100 Srgb + Pen",26199000,INTEL,INTEL ULTRA 7,255U,16.0,INTEGRATED,13.3,INTEL ULTRA 7 255U,25000,2500,PROFESSIONAL/CODING BERAT
Laptop MSI Cyborg 15 Intel Core 7 240H RTX 5060 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144Hz,17499000,INTEL,INTEL CORE 7,240H,16.0,RTX 5060,15.6,INTEL CORE 7 240H,15000,26000,GAMING/RENDERING BERAT
"Laptop MSI Stealth A16 Mercedes AMG AI+ AMD Ryzen AI 9 HX 370 GeForce RTX 5070 8 GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 16"" QHD+ OLED 240 Hz",43499000,AMD,RYZEN AI 9,370,32.0,RTX 5070,16.0,RYZEN AI 9 370,34000,32000,GAMING/RENDERING BERAT
Laptop Lenovo Thinkpad X13 Gen 5 Intel Core Ultra 135U RAM 16 GB SSD 512 GB Windows 11 Pro 13.3 WUXGA 100 SRGB,23999000,INTEL,INTEL ULTRA ,135U,16.0,INTEGRATED,13.3,INTEL ULTRA  135U,5000,2500,BASIC/ENTRY
"Laptop Lenovo Yoga Book 9 Intel Core Ultra 9 285H RAM 32 GB SSD 1 TB Windows 11 + office Home Student 2x 14"" 2.8K WQXGA+ OLED 120 Hz",36999000,INTEL,INTEL ULTRA 9,285H,32.0,INTEGRATED,14.0,INTEL ULTRA 9 285H,32000,2500,PROFESSIONAL/CODING BERAT
"Laptop ASUS ROG Strix G16 G614PH AMD RYZEN 9 8940HX RTX 5050 8 Gb RAm 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA",22099000,AMD,RYZEN 9,8940HX,16.0,RTX 5050,16.0,RYZEN 9 8940HX,28000,2500,PROFESSIONAL/CODING BERAT
"Laptop ASUS TUF A14 FA401UH AMD Ryzen 7 260 RTX5050 VRAM 8GB RAM 32 GB SSD 512 GB Windows 11 + Office Home Student 14"" WQXGA 165Hz 100 Srgb",22949000,AMD,RYZEN 7,260,32.0,RTX 5050,14.0,RYZEN 7 260,14000,2500,PELAJAR/ADMIN
"Laptop ASUS TUF FA608UP AMD Ryzen 7 260 GeForce RTX 5070 8GB RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 16"" WUXGA 165Hz 100Srgb",23599000,AMD,RYZEN 7,260,16.0,RTX 5070,16.0,RYZEN 7 260,14000,32000,GAMING/RENDERING BERAT
Laptop Acer Nitro V 15 Intel Core I7 13620H RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + office Home Student 15.6 Full HD 180Hz 100Srgb,17799000,INTEL,INTEL CORE 1,3620H,16.0,RTX 5050,15.6,INTEL CORE 1 3620H,5000,2500,BASIC/ENTRY
"Laptop Acer Nitro V 15 Intel Core i5 13420H RTX 5050 8GB RAm 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6"" 180Hz 100 Srgb",15599000,INTEL,INTEL CORE 1,3420H,16.0,RTX 5050,15.6,INTEL CORE 1 3420H,5000,2500,BASIC/ENTRY
"Laptopo Lenovo LOQ 15 Intel Core I7 13700HX GeForce RTX 5050 8GB RAM 12 GB SSD 512 GB Windows 11 + Office Home Student 15,5: Full HD",18499000,INTEL,INTEL CORE 1,3700HX,12.0,RTX 5050,0.0,INTEL CORE 1 3700HX,5000,2500,BASIC/ENTRY
"Laptop Lenovo Legion 5i OLED Intel Core i7 14700HX GeFrce RTX5050 8Gb RAM 16 GB / 24 GB SSD 512 GB Windows 11 + Office Home Student 15,1"" WQXGA 165Hz",22999000,INTEL,INTEL CORE 1,4700HX,24.0,RTX 5050,0.0,INTEL CORE 1 4700HX,5000,2500,BASIC/ENTRY
"Laptop Lenovo Thinkpad X1 2 in 1 Yoga G9 intel Core Ultra 7 165U RAM 32 GB SSD 1 TB Windows 11 Pro 14"" WUXGA 100Srgb",36299000,INTEL,INTEL ULTRA 7,165U,32.0,INTEGRATED,14.0,INTEL ULTRA 7 165U,25000,2500,PROFESSIONAL/CODING BERAT
"Laptop Lenovo Thinkpad X1 Carbon G13 Touch Screen Intel Core Ultra 7 265U RAM 32 GB SSD 1 TB Windows 11 Pro 14"" WUXGA 100SrGB",38399000,INTEL,INTEL ULTRA 7,265U,32.0,INTEGRATED,14.0,INTEL ULTRA 7 265U,25000,2500,PROFESSIONAL/CODING BERAT
"Laptop Lenovo Thinkpad X1 Carbon G13 Intel Core Ultra 7 265U RAM 32 GB SSD 1 TB Windows 11 Pro 14"" WUXGA 100SrGB",36699000,INTEL,INTEL ULTRA 7,265U,32.0,INTEGRATED,14.0,INTEL ULTRA 7 265U,25000,2500,PROFESSIONAL/CODING BERAT
"Laptop Lenovo Thinkpad T14 G6 Intel Core Ultra 5 225H RAM 16 GB SSD 512 GB 14"" WUXGA Windows 11 Pro",23399000,INTEL,INTEL ULTRA 5,225H,16.0,INTEGRATED,14.0,INTEL ULTRA 5 225H,20000,2500,MENENGAH/OFFICE MULTITASKING
"Laptop Lenovo Thinkpad E14 G6 AMD Ryzen 7 7735U RAM 16 GB SSD 1 Tb 14"" WUXGA Windows 11 Pro",18399000,AMD,RYZEN 7,7735U,16.0,INTEGRATED,14.0,RYZEN 7 7735U,14000,2500,PELAJAR/ADMIN
"Laptop Lenovo Thinkpad E14 G6 AMD Ryzen 5 7535U RAM 8 GB SSD 512 GB 14"" WUXGA Windows 11 Pro",15099000,AMD,RYZEN 5,7535U,8.0,INTEGRATED,14.0,RYZEN 5 7535U,11000,2500,PELAJAR/ADMIN
"Laptop Lenovo Thinkpad E14 G7 Intel COre Ultra 5 225U RAM 8 GB  SSD 512 GB  Windows 11 Pro 14"" WUXGA",17949000,INTEL,INTEL ULTRA 5,225U,8.0,INTEGRATED,14.0,INTEL ULTRA 5 225U,20000,2500,MENENGAH/OFFICE MULTITASKING
"Laptop MSI Crosshair A16 HX AMD Ryzen 9 7945HX GeForce RTX 5060 8GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" QHD+ 240Hz",22299000,AMD,RYZEN AI 9,7945HX,16.0,RTX 5060,16.0,RYZEN AI 9 7945HX,34000,26000,GAMING/RENDERING BERAT
"Laptop MSI Crosshair A16 HX AMD Ryzen 9 7945HX GeForce RTX 5070 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" QHD+ 240Hz",24399000,AMD,RYZEN AI 9,7945HX,16.0,RTX 5070,16.0,RYZEN AI 9 7945HX,34000,32000,GAMING/RENDERING BERAT
"Laptop Acer Aspire Lite 14 AL14 Core 3 N355 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" inch WUXGA IPS",6499000,UNKNOWN,UNKNOWN,UNKNOWN,16.0,INTEGRATED,14.0,UNKNOWN UNKNOWN,5000,2500,BASIC/ENTRY
"Laptop AXIOO Pongo 775 Intel Core i7 13620H RTX 5070 8GB RAM 16 GB SSD 512 GB Windows 11 16"" QHD+ 180 Hz",21699000,INTEL,INTEL CORE 1,3620H,16.0,RTX 5070,16.0,INTEL CORE 1 3620H,5000,32000,GAMING/RENDERING BERAT
"Laptop AXIOO Pongo Monster X Intel Core Ultra 275HX GeForce RTX 5090 24GB RAM 32 GB SSD 2 TB Windows 11 18"" UHD+ 240 Hz",72599000,INTEL,INTEL ULTRA ,275HX,32.0,RTX 5090,18.0,INTEL ULTRA  275HX,5000,45000,GAMING/RENDERING BERAT
"Laptop Acer Swift Edge 14 AI OLED Touch Screen Intel Core Ultra 7 258V RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 14"" 3K 120Hz",24699000,INTEL,INTEL ULTRA 7,258V,32.0,INTEGRATED,14.0,INTEL ULTRA 7 258V,25000,2500,PROFESSIONAL/CODING BERAT
"Laptop ASUS Vivobook 14 A1404VAP Intel Core 5 120U RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD VIPS",8739000,INTEL,INTEL CORE 1,404VA,16.0,INTEGRATED,14.0,INTEL CORE 1 404VA,5000,2500,BASIC/ENTRY
"Laptop Gaming Acer Predator Helios Neo OLED 16S AI Intel Core Ultra 9 275HX GeForce RTX 5060 VRAM 8 GB RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 16"" WQXGA 240 Hz",28799000,INTEL,INTEL ULTRA 9,275HX,16.0,RTX 5060,16.0,INTEL ULTRA 9 275HX,32000,26000,GAMING/RENDERING BERAT
"Laptop MSI Katana 15HX Intel Core i9 14900HX NVidia GeForce RTX 5060 8GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6"" QHD 165Hz  2 Year",25299000,INTEL,INTEL CORE 1,4900HX,16.0,RTX 5060,15.6,INTEL CORE 1 4900HX,5000,26000,GAMING/RENDERING BERAT
"Laptop ASUS Zenbook S16 UM5606WA Touch Screen AMD Ryzen AI 9 HX 370 RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 16"" WQXGA 3K",27999000,AMD,RYZEN AI 9,370,32.0,INTEGRATED,16.0,RYZEN AI 9 370,34000,2500,PROFESSIONAL/CODING BERAT
"Laptop ASUS Vivobook 14 M1407KA AMD Ryzen AI 5 340 RAM 16 GB SSD 512 GB Windows 11 +Office Home Student 14"" WUXGA",10329000,APPLE,APPLE SILICON,M1,16.0,INTEGRATED,14.0,APPLE SILICON M1,14500,2500,PELAJAR/ADMIN
"Laptop ASUS Expertbook P3 P3405CVA Intel Core I5 13420H RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA",10549000,INTEL,INTEL CORE 3,405CV,8.0,INTEGRATED,14.0,INTEL CORE 3 405CV,5000,2500,BASIC/ENTRY
"Laptop Lenovo Ideapad Flex 5 14 AMD Ryzen 5 5625U RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA + PEN",10449000,AMD,RYZEN 5,5625U,16.0,INTEGRATED,14.0,RYZEN 5 5625U,11000,2500,PELAJAR/ADMIN
"Laptop Zyrex D-Tech Pro V1 AMD Ryzen 5 6600H RAm 16 GB SSD 512 GB Windows 11 14"" FHD IPS",6099000,AMD,RYZEN 5,6600H,16.0,INTEGRATED,14.0,RYZEN 5 6600H,11000,2500,PELAJAR/ADMIN
