Nama_Produk,Harga
"Laptop Lenovo Ideapad Slim 3 14 AMD Ryzen 5 5625U RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD IPS",8249000
LENOVO LEGION GLASSES GEN 2 MICRO OLED VR GLASS,6249000
"Laptop ASUS Vivobook S14 M3407HA AMD Ryzen 7 260 RAM 16 GB SSD 1 TB WIndows 11 + Office Home Student 14"" WUXGA",12799000
"Laptop ASUS Vivobook S14 S3407CA Intel Core Ultra 5 225H RAM 16 GB SSD 1 TB WIndows 11 + Office Home Student 14"" WUXGA",12099000
"Laptop ASUS Vivobook S14 S3407QA Snapdragon X1 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WQXGA IPS 2.5K",9539000
ADVAN AIO ONE PC INTEL CORE I7 1280P RAM8GB SSD512GB Windows 11 23.8Full HD,9949000
"Laptop Lenovo Ideapad Slim 3 14 Intel Core i5 13420H RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA IPS",8429000
"Laptop ASUS Vivobook 14 Flip OLED TP4307sa Intel Core Ultra 5 226V RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA",15729000
Apple IPAD 11 2025 A16 Storage 128 GB WIFI 11 Inch Garansi Resmi IBOX,6249000
"Laptop Lenovo Yoga Slim 7 14 Touch Screen AMD Ryzen AI 5 340 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" 2.8K OLED 120 Hz",16199000
"Laptop ASUS ROG STRIX G16 G615LP Intel Core Ultra 9 275HX GeForce RTX 5070 8 gb  RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 16"" WQXGA 240Hz",34699000
"Laptop Gaming ASUS ROG Zephyrus G16 GU605CR Intel Core Ultra 9 285H GeForce RTX5070Ti 12 GB RAM 32 GB 2 TB Windows 11 + Office Home Student 16"" WQXGA 240 Hz",51999000
"Laptop Gaming ASUS ROG Zephyrus G14 OLED GA403WR AMD Ryzen AI 9 HX370 GeForce RTX 5070 Ti 12 GB RAM 32 GB SSD 2 TB Windows 11 + Office Home Student 14"" QHD 120Hz",45959000
"Laptop Lenovo Yoga 7 2in1 14 OLED Intel Core Ultra 5 226V RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA +Pen",17499000
"Laptop ASUS Vivobook S14 S3407CA Intel Core Ultra 7 255H RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 14"" 2K",14199000
LENOVO AIO IDEACENTRE 24 AMD RYZEN 5 7535HS RAM 8GB SSD 512GB Windows 11+OHS 23.8Full HD IPS GRY,9449000
LENOVO AIO IDEACENTRE 24 AMD RYZEN 3 7335U RAM 8GB SSD 512GB Windows 11+OHS 23.8Full HD IPS GRY,7799000
"HP AIO All In One PC Desktop Omnistudio X 27 Intel Core Ultra 7 155H RAM 32 GB SSD 2 TB Windows 11 + Office Home Student 27"" FHD IPS",25249000
Laptop Asus Vivobook Go 15 E1504FA Ryzen 3 7320U 16 GB 512SSD W11+Ohs,7069000
"Laptop Gaming ASUS ROG STRIX G16 G615LR Intel Core Ultra 9 275HX GeForce RTX 5070Ti 12gb  RAM 32 GB SSD 2 TB Windows 11 + Office Home Student 16"" QHD 240Hz",43819000
"Laptop HP 14 AMD Ryzen 3 7320 RAM 8 GB SSD 256 GB Windows 11 + Office Home Student 14"" FUll HD",5539000
"Laptop Lenovo ThinkPad X1 Carbon Gen 13 AURA EDITION OLED Intel Core Ultra 7 258V RAM 32 GB SSD 1 TB Windows 11 Pro 14"" 2.8K 120Hz 3 Year",40699000
"Laptop HP 14 AMD Ryzen 3 7320U RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD IPS",5849000
Laptop Asus Vivobook 14 E1404GA I3 N305 8CORE 8GB 256-512SSD W11+OHS FHD,5799000
Starlink Mini Portable Satellite Wifi,4037000
"Axioo Pongo 750 RTX4050 6GB/i7 13620H 16gb 512ssd DOS 15.6"" FHD 144HZ IPS RGB",14099000
Laptop AXIOO HYPE-R 5 INTEL CORE I5 1235 RAM 24GB SSD 512GB 14.0 Full HD,7949000
Laptop AXIOO HYPE-R 3 INTEL CORE I3 1215 RAM 12GB SSD 256GB 14.0Full HD,6049000
"Laptop ASUS Gaming K16 K3605VC Intel COre I5 13420H RTX 3050 4GB RAM 16GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA",10499000
"Asus TUF A14 FA401UU RTX4050 6GB/RYZEN 7 8845HS 32gb 512ssd W11 + OHS 14"" QHD 165Hz 100SRGB",22369000
ASUS PC Desktop P500MV Intel Core i7 13620H RAM 8 GB SSD 512 GB Windows 11 + LED Monitor 21.5 Inch,10099000
ASUS PC Desktop P500MV Intel Core i5 13420H RAM 8 GB SSD 512 GB Windows 11 + LED Monitor 21.5 Inch,8649000
ASUS PC Desktop P500MV Intel Core i3 1315 RAM 8 GB SSD 512 GB Windows 11 + LED Monitor 21.5 Inch,7149000
"Laptop Acer Nitro Lite 16 Intel Core i7 13620H RTX 2050 4GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 180Hz 100 Srgb",13199000
"Laptop Lenovo Yoga Slim 7 14 Touch Screen AMD Ryzen AI 7 350H RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 14"" 2.8K OLED 120 Hz",18499000
"Laptop SPC Life 5 Intel Core i5 12450H RAM 8 GB SSD 512 GB Windows 11 Pro 14"" Full HD IPS",5449000
IBOX Apple MacBook Air 13 M4 10 Core CPU 8 / 10 Core GPU Memory 16 GB / 24 GB Storage 256 GB / 512 GB - Garansi Resmi IBOX,15999000
Smart TV TCL 40 Inch 43 inch Android Full HD - 40S5400A 43S5400A - Garansi Resmi,3129000
TCL Android TV 32 40 43 Inch FHD - 32S4500A | Smart TV Google Android Resmi,3129000
TCL 43 Inch Google TV 4K UHD Smart TV - 43P6K Garansi Resmi,3619000
Laptop Axioo Hype 10 N4020 8GB 256SSD Dos / W110,3549000
"Laptop 2 in 1 Acer Aspire Spin ASP14 Touch Screen Intel Core Ultra 5 115U RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA Pen",12749000
"Laptop ACER Aspire Lite AL14 Intel Celeron N150 RAM 8 GB SSD 256 GB Windows 11 + Office Home Student 14"" WUXGA",4919000
"Laptop Lenovo Yoga 7 2 in 1 14 OLED AMD Ryzen AI 5 340 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA + PEN",16299000
Asus Vivobook Go 15 E1504FA Ryzen 5 7520U 16GB 512SSD W11+OHS FHD,8299000
"Laptop ACER Mate 14 AM1 Intel Core i5 1235 RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" IPS",7399000
TCL GOOGLE TV 43 50 55 65 75 98 INCH QLED 4K TV,5569000
Laptop Lenovo Yoga Slim 7 Aura Edition 14 Touch Screen OLED Intel Core Ultra 7 258V RAM 32GB SSD 1 TB Windows 11 + Office Home Student 120 Hz EVO,19799000
"Laptop Lenovo Ideapad Flex 5 14 AMD Ryzen 7 5825 RAM 16GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA + PEN",11649000
"Laptop ASUS Vivobook 14 A1407QA Snapdragon X X1 26100 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA",8879000
"Laptop HP Pavilion X360 14 TOUCH Intel Core 5 120U RAM 16gb SSD 512ssd Windows 11 + Office Home Student 14"" Fhd IPS FP PEN 720P CAM 2Y",11599000
Laptop Lenovo Yoga 9 2 in 1  AURA EDITION 14 OLED Intel Core Ultra 7 258V RAM 32 GB 1 TB Windows 11 + Office Home Student  14 4K PEN,28999000
"Laptop Acer Aspire Lite 14 AL14 Core 3 N355 RAM 8GB SSD 512 GB Windows 11 + Office Home Student 14"" inch WUXGA IPS",5899000
"Lenovo Ideapad Pro 5 14 OLED Intel Core Ultra 7 255H RAM 24 GB SSD 1 TB Windows 11 + Office Home Student 14"" 2.8K 120Hz EVO",17199000
ASUS ROG Strix Scar 18 G835LX Intel Core Ultra 9 275HX GeForce RTX 5090 24GB RAM 64 GB SSD 4 TB Windows 11 + Office Home Student 18/0 2.5K MINILED 240Hz PKRGB,85149000
"ASUS ROG Strix Scar 18 G835LW Intel Core Ultra 9 275HX GeForce RTC 5080 16 GB RAM 32 GB SSD 2 TB Windows 11 + Office Home Student 18"" 2.5K MINILED 240Hz",71999000
"Laptop Gaming ASUS ROG Strix Scar 16 G635LW Intel Core Ultra 9 275HX GeForce RTX5080 16 GB RAM 32 GB SSD 2TB Windows 11 + Office Home Student 16"" 2.5K MINILED 240Hz PKRGB",70249000
"Laptop Gaming ASUS ROG STRIX G16 G615LW Intel COre Ultra 9 275HX GeForce RTX 5080 16gb  RAM 32 GB SSD 2 TB Windows 11 + Office Home Student 16"" 2.5K 240Hz",55999000
Laptop Acer Aspire 7 Pro A715 Intel Core i7 12650H GeFOrce RTX 3050 6GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 FHD 144 Hz,11899000
Laptop Acer Aspire 7 Pro A715 Intel COre i5 12450H GeForce RTX 3050 6GB RAM 8GB SSD 512 GB Windows 11 + Office Home Student 15.6 FHD 144Hz,10199000
"Laptop Ringan ASUS Zenbook 14 OLED UM3406KA AMD Ryzen AI 7 350 RAM 32GB SSD 1TB Windows 11 + Office Home Student 14""",18599000
"Laptop Gaming MSI Vector 16HX AI Intel Core Ultra 275Hx NVidia GeForce RTX 5080 16 GB RAM 16 GB 1 TB Windows 11 + Office Home Student 16"" QHD+ 240",37699000
"Laptop Gaming MSI Raider 18HX AI Intel Core Ultra 9 285HX NVidia GeForce RtX5080 16GB RAM 64 GB SSD 4 TB Windows 11 + Office Home Student 18"" UHD+ MiniLED 120Hz",70999000
"Laptop Gaming MSI Titan 18HX Intel Core Ultra 9 285HX GeForce RtX 5090 24G RAM 64 GB SSD 6TB Windows 11 + Officce Home Student 18"" Inch UHD+ MiniLED 120 Hz",92499000
"Laptop Gaming MSI Titan 18HX Dragon Edition Norse Myth Intel Core Ultra 9 285HX GeForce RtX 5090 24G RAM 96 GB SSD 6TB Windows 11 + Officce Home Student 18"" Inch UHD+ MiniLED 120 Hz",101999000
"Laptop Lenovo Ideapad Slim 3 14 intel Core i7 13620H RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA IPS",11149000
"Laptop ADVAN 360 Stylus Pro 2 in 1 Touch Screen Intel Core i3 1215 RAM 8GB SSD 256 GB Windows 11 14"" FUll HD IPS",6499000
LG CURVED MONITOR 49WQ95C-W 49 INCH ULTRAWIDE DUAL QHD 5K,16369000
Laptop Tecno Megabook T1 14 Intel Core I5 13420H RAM 16 GB SSD 512 GB Windows 11 14 Inch WUXGA 100SRGB,7999000
Laptop TECNO Megabook T1 14 AMD RYZEN 5 RAM 16 GB SSD 512 GB Windows 11 14 Inch WUXGA 100SRGB,6999000
"Laptop Acer Predator Helios NEO 16 Intel Core I9 14900HX 8GB RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 16"" WQXGA 180 Hz 100Srgb 4 Zone RGB",22099000
Laptop HP Victus 15 AMD Ryzen 9 8945HS GeForce RTX4060 8GB RAM 16 GB SSD  1 TB Windows 11 + Office Homse Student 15.6 Full HD 144Hz 2Y+ADP,18499000
XIAOMI SMART TV L43MA-AFID 43 INCH A 2025 FULL HD TV,3079000
"Laptop ASUS ROG Flow Z13 GZ302EA Touch AMD Ryzen AI Max+ 395 RAM 32 / 64 GB SSD 1TB Windows 11 + Office Home Student 13.4"" 2.K 180Hz",33819000
"Laptop ACER ASPIRE LITE AL14 Intel Core I7 12650H RAM 16GB SSD 1TB Windows 11 + Office Home Student 14"" ips",10999000
"Laptop INFINIX INBOOK X2 Intel Core I5 1334U RAM 8 GB / 16 GB SSD 512GB Windows 11 14"" Full HD 100SRGB",6799000
"Laptop INFINIX XBOOK B15 AMD RYZEN 7 5825U RAM 8GB SSD 512GB WINDOWS 11 15"" FULL HD",6199000
Laptop LENOVO IDEAPAD SLIM 5 14 OLED INTEL CORE 7 240H RAM 16GB SSD 512GB Windows 11+OHS 14.0WUXGA 2Y+ADP,13349000
Laptop LENOVO IDEAPAD SLIM 5 13 AMD RYZEN 7 7735HS RAM 16GB SSD512GB Windows 11+OHS 13.3WUXGA 100SRGB,11379000
LENOVO IDEACENTRE TOWER INTEL CORE I7 14700 RAM 8GB SSD 512GB Windows 11+OHS + MONITOR 21.5,13399000
Lenovo AIO IDEACENTRE 24 AMD RYZEN 7 7735HS RAM 8GB SSD 512GB Windows 11+OHS 23.8Full HD IPS GRY,11499000
Laptop AXIOO PONGO 735 INTEL CORE I7 13620H RTX3050 6GB/ RAM 16GB SSD 512GB 15.6Full HD 144HZ IPS RGB 3Y,12899000
Laptop AXIOO HYPE-R 5 OLED INTEL CORE I5 1235 RAM 24GB SSD 512GB 14.0Full HD,9299000
Laptop AXIOO HYPE-R 3 OLED INTEL CORE I3 1215 RAM 24GB SSD 256GB 14.0Full HD,7599000
"Laptop ASUS GAMING V16 V3607VU Intel Core 5 210H GeForce RTX 4050 6GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" Inch 144Hz Refresh Rate",12899000
Laptop AXIOO HYPE 7 AMD X7 AMD RYZEN 7 5825 RAM 8GB SSD 512GB Windows 11 14.0Full HD IPS,7049000
Laptop AXIOO HYPE 7 AMD X7 AMD RYZEN 7 5825 SSD 16GB SSD 512GB DOS 14.0Full HD IPS,7249000
ASUS PC DESKTOP S500TE INTEL CORE I5 13500 RAM 8GB SSD 512GB Windows 11,9399000
ACER AIO ASPIRE C27-1700 INTEL CORE I5 1235U RAM8GB SSD512GB Windows 11+ OHS 27.0Full HD IPS,9849000
Laptop AXIOO HYPE 3 G11 INTEL CORE I3 1125G4 RAM8GB SSD256GB DOS 14.0Full HD IPS,4499000
MSI MINI PC CUBI 5 INTEL CORE I5 1235U DOS (BARE),5649000
MSI MINI PC CUBI 5 INTEL CORE I5 1235U RAM16GB SSD512GB DOS,7249000
"Laptop ASUS Zenbook 14 Snapdragon X X1 26 100 RAM 16GB SSD 512 GB Windows 11 + Office Home Student + OFfice 365 14"" Inch WUXGA 100 SRGB",14249000
Lenovo PC Desktop All In One AIO 3 A100 22 Intel Celeron N100 RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 23.5 Full HD,5399000
